,comment,replies
160,"His authentic happiness shows just how much of a bombshell function calling will be, and for them to nonchalantly release it is interesting.",['…John Connor rolling over in his grave']
161,"<a href=""https://www.youtube.com/watch?v=0lOSvOoF2to&amp;t=6m10s"">6:10</a> &quot;do cool shhhh...stuff.&quot; nice save haha.<br><br>Good video, i wonder if a lack of functions like this is why the snapchat AI used to gaslight people?<br>It would tell them it didn’t know their location for privacy reasons, then in the same sentence tell them where the closest macdonalds was, or the weather in their area.<br><br>Also, any chance on a new gantheftauto video? Its been 2 years, and its my all time favourite of yours :p",[]
162,Good work you were quick with this one.,[]
163,make a function that writes new functions based on the AI&#39;s desires. Boom. fully unlocked AI,[]
164,What&#39;s with the crazy long ads in between??? A guy talking about socks for 5 minutes straight,"['Lol', 'IDK, i just turn on ads, I don&#39;t really have much of a say what gets shown or for how long... but some AI somewhere thinks you really need those socks.']"
165,the function doesn&#39;t seem to be a function at all. you&#39;re simply providing more context so it can provide a more accurate result for what you&#39;re expecting.,"['Yeah, response formatting may be a more accurate term.', 'In the end everything is context. It&#39;s just a more reliable and officially supported way of providing that context.', 'I believe that&#39;s how I described it multiple times here :P']"
166,"So stoked you covered this. Getting creative output in a structured format is huge due to its contradictory goals. I assume you can still change temperature? I didn&#39;t see anything about that, guess I&#39;ll just have to try.","['You still change temperature and top_p settings at the model level, right? Or can you do it at the chat/query/function level?', 'I&#39;d love to see a side by side comparison across a range of tasks', 'AutoGPT on steroids ? :D']"
167,that vscode update badge is driving me crazy,"['Sad life', 'To be honest, I didn&#39;t and don&#39;t even notice it anymore hahah. I&#39;m sorry.']"
168,"Thanks for your video! I wonder how is this different from, say, a weather plugin? Doesn&#39;t a plugin do the same thing by calling some &quot;functions&quot; that were written by human developers?",['my guess is almost all plugins were created up to this point using forms/preprompts and theyll all be soon re-written to use function calling. For an end-user (or middle user?) using some plugin...you probably wont notice any difference.']
169,Harrison this is crazy.  I really wish you would create a GPT from scratch series.  I know you had a 2 years ago GPT series but what do you think?  I am also helping new students with your book.  They are buying the ebook.,"['@Kevin Thomas Also it uses tiny-Shakespeare and tokenizes differently to Tiktokens. It is educational for certain aspects of the Google paper that spawned transformers. There is room to expand on it further.', '@sentdex yea its pretty amazing but moves quick.  I like how you really take your time to break it down and make it digestible Harrison it is what really defines you.', 'I may do something like this at some point, gotta finish NNFS videos first though. Karpathy did a sort of GPT from scratch series if memory serves during his transition from Tesla to OpenAI. Have you seen that one?']"
170,woahhhh,[]
171,Second 😂,[]
172,Sentdex is amazing always,[]
173,First comment,[]
